Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Delete;Optimized;1;9857500;9839000;8409000;9419000;9855000;10330000;11410000;
Delete;Optimized;10;10919600;11230000;9010000;10501000;10905000;11490000;16100000;
Delete;Optimized;25;12264500;12590000;10861000;11527000;12216000;12950000;19210000;
Delete;Optimized;50;14587700;15030000;12771000;13973000;14511000;15490000;19770000;
Delete;Optimized;100;21596600;21961000;18602000;20844000;21610000;22460000;28700000;
Delete;Optimized;1000;187804100;187872000;134296000;171466000;188689000;203050000;232980000;
Delete;Optimized;10000;1976376700;2024343000;1748587000;1900686000;1970315000;2104920000;2518220000;
Delete;Optimized Dapper;1;10659100;10918000;9499000;10147000;10670000;11220000;15270000;
Delete;Optimized Dapper;10;11418500;11767000;10325000;10783000;11384000;12220000;16560000;
Delete;Optimized Dapper;25;13244500;13671000;11914000;12720000;13313000;13690000;20990000;
Delete;Optimized Dapper;50;15741400;16384000;14076000;14964000;15688000;16770000;25050000;
Delete;Optimized Dapper;100;23832500;24342000;21587000;22467000;23713000;26240000;31200000;
Delete;Optimized Dapper;1000;201399500;203385000;171572000;191300000;199277000;218540000;243110000;
Delete;Optimized Dapper;10000;1927139000;1929573000;1554707000;1745319000;1931994000;2008170000;2582150000;
Delete;EF Core;1;10314400;10500000;9199000;10027000;10332000;10870000;13850000;
Delete;EF Core;10;15680000;16047000;12720000;14531000;15416000;17130000;21540000;
Delete;EF Core;25;42567200;42103000;19474000;22929000;53256000;59650000;70740000;
Delete;EF Core;50;58038300;57583000;33209000;38906000;65320000;70250000;85920000;
Delete;EF Core;100;85982600;87098000;61564000;70636000;83687000;100000000;135290000;
Delete;EF Core;1000;899009100;894523000;738394000;848207000;906998000;932410000;1065510000;
Delete;EF Core;10000;8993150100;8916907000;6974375000;7721165000;9149964000;9953610000;10884770000;
