Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Insert;Optimized;1;4594000;4702000;3702000;4305000;4611000;4883000;6774000;
Insert;Optimized;10;5527900;5617000;4787000;5155000;5510000;5918000;7214000;
Insert;Optimized;25;5881500;5972000;4956000;5650000;5815000;6241000;7556000;
Insert;Optimized;50;9094100;9670000;7325000;8147000;9039000;10316000;17188000;
Insert;Optimized;100;12588000;12806000;11489000;12157000;12556000;13128000;16845000;
Insert;Optimized;1000;61105000;62072000;54892000;58786000;60821000;64604000;76921000;
Insert;Optimized;10000;557674300;566256000;505462000;532476000;556636000;591758000;670801000;
Insert;Optimized Dapper;1;4916900;5109000;4008000;4555000;4874000;5485000;7604000;
Insert;Optimized Dapper;10;5238900;5269000;4055000;4799000;5240000;5656000;7277000;
Insert;Optimized Dapper;25;6302300;6489000;5165000;5905000;6261000;6872000;9651000;
Insert;Optimized Dapper;50;8959200;9065000;7220000;8454000;8776000;9615000;13727000;
Insert;Optimized Dapper;100;12632100;12845000;11349000;12220000;12543000;13084000;16255000;
Insert;Optimized Dapper;1000;61085000;61443000;55428000;58953000;60967000;63475000;72303000;
Insert;Optimized Dapper;10000;577784300;588818000;502988000;540480000;582734000;615302000;766599000;
Insert;EF Core;1;6467300;6796000;4853000;5663000;6488000;7309000;11040000;
Insert;EF Core;10;23677000;30292000;6947000;8405000;10664000;56553000;103352000;
Insert;EF Core;25;36555700;38820000;9438000;11004000;53142000;61137000;113078000;
Insert;EF Core;50;39299400;42559000;13204000;15032000;39086000;64452000;112213000;
Insert;EF Core;100;48353600;52943000;22980000;24810000;46928000;74603000;132576000;
Insert;EF Core;1000;198474300;199684000;190829000;195185000;198570000;202423000;222703000;
Insert;EF Core;10000;3152290500;3117047000;2752218000;2952856000;3162560000;3263111000;3423453000;
