Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Update;Optimized;1;16103200;16100000;13074000;15490000;16110000;16820000;19190000;
Update;Optimized;10;15563600;15030000;9777000;11170000;16500000;17940000;19590000;
Update;Optimized;25;12155400;12340000;10786000;11770000;12100000;12940000;15230000;
Update;Optimized;50;13700900;13930000;11803000;12900000;13580000;14600000;17290000;
Update;Optimized;100;18827600;18980000;15351000;18000000;18770000;20170000;23440000;
Update;Optimized;1000;157626200;161890000;112053000;139670000;151660000;187600000;231730000;
Update;Optimized;10000;1652275800;1639400000;1296188000;1514050000;1661160000;1776340000;1902410000;
Update;Optimized Dapper;1;18285700;18880000;16285000;17380000;18230000;19670000;26850000;
Update;Optimized Dapper;10;19146400;20270000;16787000;18430000;19010000;20280000;31930000;
Update;Optimized Dapper;25;20435500;22100000;17009000;19360000;20330000;21870000;42820000;
Update;Optimized Dapper;50;22913800;23500000;17572000;21260000;22830000;24650000;32600000;
Update;Optimized Dapper;100;28852900;29700000;25889000;27570000;28700000;31650000;39120000;
Update;Optimized Dapper;1000;202925800;205880000;177461000;189880000;204570000;218140000;256950000;
Update;Optimized Dapper;10000;1476903100;1520210000;1325864000;1392680000;1460590000;1642300000;2006230000;
Update;EF Core;1;13386200;15440000;10138000;11180000;12960000;16450000;43570000;
Update;EF Core;10;29406200;31300000;18115000;24790000;29160000;35380000;52140000;
Update;EF Core;25;53824900;52610000;26533000;33640000;60660000;66680000;95070000;
Update;EF Core;50;74708500;72820000;46008000;52650000;78500000;85190000;110130000;
Update;EF Core;100;114360700;117730000;82990000;96730000;115490000;125030000;192430000;
Update;EF Core;1000;1024629000;1051530000;866569000;971960000;1018810000;1088900000;1524340000;
Update;EF Core;10000;10777934300;11009130000;7742078000;9720910000;10732190000;12151870000;16912480000;
