Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Delete;Optimized;1;5592600;5600000;4556000;5382000;5586000;5900000;6746000;
Delete;Optimized;10;7177100;7192000;5798000;6710000;7184000;7606000;9545000;
Delete;Optimized;25;8126900;9011000;6613000;7362000;8169000;8955000;21221000;
Delete;Optimized;50;10508700;10563000;8277000;9782000;10642000;11132000;13181000;
Delete;Optimized;100;14180100;14420000;11751000;13290000;13985000;15392000;19507000;
Delete;Optimized;1000;124745100;120332000;62199000;108623000;125339000;138128000;187695000;
Delete;Optimized;10000;1118191100;1127792000;977304000;1068206000;1110324000;1175786000;1390129000;
Delete;Optimized Dapper;1;4985400;5112000;4216000;4604000;4903000;5424000;7395000;
Delete;Optimized Dapper;10;5479200;6036000;4544000;5032000;5308000;6336000;10967000;
Delete;Optimized Dapper;25;5671700;5735000;4859000;5418000;5673000;6073000;7178000;
Delete;Optimized Dapper;50;7703000;7695000;6468000;7332000;7761000;8100000;8946000;
Delete;Optimized Dapper;100;10632800;10879000;8841000;9654000;10361000;11862000;14467000;
Delete;Optimized Dapper;1000;107473900;105626000;50249000;102179000;108107000;113638000;128462000;
Delete;Optimized Dapper;10000;972186400;989325000;697991000;828175000;984006000;1103510000;1527087000;
Delete;EF Core;1;5619300;5880000;4348000;5189000;5435000;6413000;9211000;
Delete;EF Core;10;8146800;8250000;6505000;7685000;8175000;8578000;10674000;
Delete;EF Core;25;22717700;30513000;10839000;12133000;13820000;54043000;99522000;
Delete;EF Core;50;40122400;44138000;17428000;19429000;39215000;63867000;109323000;
Delete;EF Core;100;45178200;52338000;30948000;33453000;36091000;70328000;125633000;
Delete;EF Core;1000;907573400;827205000;342854000;876951000;905019000;944957000;979221000;
Delete;EF Core;10000;9813377600;8640332000;3940677000;9529311000;9808568000;10078043000;11023714000;
