Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Insert;Optimized;1;4984300;5160000;4139000;4506000;4973000;5541000;7557000;
Insert;Optimized;10;5223600;5364000;4432000;4974000;5229000;5633000;7846000;
Insert;Optimized;25;5742000;5799000;5082000;5507000;5731000;6033000;7125000;
Insert;Optimized;50;8683900;8790000;7001000;8155000;8644000;9528000;11342000;
Insert;Optimized;100;11908500;11978000;10435000;11303000;11890000;12488000;15044000;
Insert;Optimized;1000;60087000;60123000;54023000;57831000;60157000;62024000;69370000;
Insert;Optimized;10000;657269100;665122000;517733000;621840000;657239000;697431000;856397000;
Insert;Optimized Dapper;1;4767300;4958000;3857000;4276000;4708000;5476000;8117000;
Insert;Optimized Dapper;10;5117900;5214000;4495000;4844000;5089000;5517000;6984000;
Insert;Optimized Dapper;25;5800800;5874000;4946000;5437000;5759000;6195000;7578000;
Insert;Optimized Dapper;50;8564400;8763000;7355000;8210000;8552000;9005000;12267000;
Insert;Optimized Dapper;100;12826400;13034000;11153000;12252000;12797000;13610000;17335000;
Insert;Optimized Dapper;1000;72872200;74587000;64155000;69106000;71872000;80522000;94160000;
Insert;Optimized Dapper;10000;660005800;664194000;539284000;618972000;653401000;707059000;853869000;
Insert;EF Core;1;5995500;6120000;4804000;5542000;5912000;6626000;9253000;
Insert;EF Core;10;20254100;29041000;6094000;8038000;9728000;56296000;113433000;
Insert;EF Core;25;34421400;36479000;8822000;11009000;34337000;59276000;96143000;
Insert;EF Core;50;41146600;43120000;12982000;14758000;55382000;62696000;104814000;
Insert;EF Core;100;54034000;53549000;21188000;25148000;63311000;69968000;121801000;
Insert;EF Core;1000;203524600;203662000;189110000;197456000;202954000;209084000;219800000;
Insert;EF Core;10000;5460842500;5050130000;2079679000;2981332000;5315547000;6470538000;6641982000;
