Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Update;Optimized;1;21467700;22490000;11509000;16980000;20840000;26750000;40850000;
Update;Optimized;10;26597500;27830000;11150000;18620000;26680000;34880000;50900000;
Update;Optimized;25;32892200;35790000;16123000;24760000;31540000;45290000;92870000;
Update;Optimized;50;25028300;27610000;18758000;22420000;24740000;29070000;54860000;
Update;Optimized;100;40294200;42450000;28699000;35730000;39740000;47010000;67860000;
Update;Optimized;1000;314053000;322670000;226271000;271990000;309980000;368050000;483970000;
Update;Optimized;10000;4463066600;4596900000;3559327000;3973010000;4379720000;5132440000;6978760000;
Update;Optimized Dapper;1;21829600;22510000;10739000;16100000;21670000;25890000;49240000;
Update;Optimized Dapper;10;17899200;20250000;7947000;13470000;17340000;24170000;52660000;
Update;Optimized Dapper;25;23180700;24200000;10932000;18480000;22280000;29400000;47600000;
Update;Optimized Dapper;50;21378600;21550000;15117000;18110000;21400000;23640000;32670000;
Update;Optimized Dapper;100;44707400;49300000;25607000;34790000;46020000;53540000;112970000;
Update;Optimized Dapper;1000;308369800;318790000;204713000;263290000;305660000;353960000;567590000;
Update;Optimized Dapper;10000;5585206300;5453870000;3849348000;5347190000;5571420000;5831690000;6614750000;
Update;EF Core;1;25561300;25900000;13762000;19310000;25120000;30640000;41590000;
Update;EF Core;10;38088300;39650000;20394000;31320000;36650000;46200000;73140000;
Update;EF Core;25;80728600;86260000;39300000;64420000;79900000;100830000;209170000;
Update;EF Core;50;172480000;170410000;73986000;123930000;184820000;209260000;282750000;
Update;EF Core;100;390126100;399060000;329100000;356820000;388430000;428590000;527230000;
Update;EF Core;1000;2942598600;2744040000;1320779000;1937800000;3098810000;3292470000;3831930000;
Update;EF Core;10000;29707505500;29866740000;23078415000;23977620000;27007860000;35052460000;39380920000;
