Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Delete;Optimized;1;13593300;13870000;11582000;12980000;13550000;14390000;19500000;
Delete;Optimized;10;14089400;13960000;11222000;13140000;14130000;14660000;16530000;
Delete;Optimized;25;21876500;21920000;16654000;19430000;21810000;24000000;29510000;
Delete;Optimized;50;33562700;33740000;21007000;26340000;33540000;40820000;50500000;
Delete;Optimized;100;61362800;63290000;29712000;44580000;61010000;80650000;130920000;
Delete;Optimized;1000;499497800;496510000;275297000;361890000;502820000;618500000;768000000;
Delete;Optimized Dapper;1;11787600;11740000;9330000;11090000;11880000;12520000;13770000;
Delete;Optimized Dapper;10;13022000;13050000;10253000;12130000;13100000;13780000;17450000;
Delete;Optimized Dapper;25;20638800;20760000;15786000;18730000;20800000;22720000;27160000;
Delete;Optimized Dapper;50;30629600;30470000;18968000;24330000;31320000;35780000;43480000;
Delete;Optimized Dapper;100;64576400;63720000;27897000;44860000;64420000;79570000;107150000;
Delete;Optimized Dapper;1000;490966800;479040000;242018000;367710000;498210000;595460000;736360000;
Delete;EF Core;1;15770100;16050000;13567000;14990000;15680000;16830000;19420000;
Delete;EF Core;10;48843800;49630000;42148000;46190000;48550000;52220000;62480000;
Delete;EF Core;25;110523700;113150000;95608000;105150000;108840000;119810000;147820000;
Delete;EF Core;50;208553600;215190000;176151000;196880000;205400000;232500000;286660000;
Delete;EF Core;100;399293600;401640000;368475000;386550000;399520000;411220000;445100000;
Delete;EF Core;1000;4718551100;4551370000;3680036000;3855630000;4876220000;4971740000;5089140000;
