Method;Variant;Rows;Mean;Error;StdDev;Median;Min;Max;
Insert;Optimized;1;6804000;318200;642700;6693000;5800000;9135000;
Insert;Optimized;10;15204000;869300;1755900;14897000;13524000;24840000;
Insert;Optimized;25;29466000;758500;1532200;29550000;26705000;32729000;
Insert;Optimized;50;51041000;899700;1817500;50787000;47404000;54480000;
Insert;Optimized;100;89280000;5123000;10348600;93604000;73899000;111031000;
Insert;Optimized;1000;815141000;43358000;87585300;865813000;689971000;939712000;
Insert;Optimized Dapper;1;6551000;301700;609400;6381000;5730000;8675000;
Insert;Optimized Dapper;10;15192000;711000;1436300;14912000;12989000;21607000;
Insert;Optimized Dapper;25;28603000;1036400;2093500;28668000;25987000;35677000;
Insert;Optimized Dapper;50;51219000;1265300;2556000;50771000;46760000;59289000;
Insert;Optimized Dapper;100;97559000;1718000;3470500;97168000;91133000;109335000;
Insert;Optimized Dapper;1000;790467000;41871400;84582200;734322000;693925000;916274000;
Insert;EF Core;1;6183000;449800;908600;5735000;5065000;9408000;
Insert;EF Core;10;13672000;1147800;2318600;12834000;11394000;23137000;
Insert;EF Core;25;29150000;788000;1591800;29032000;26577000;32491000;
Insert;EF Core;50;51906000;1228300;2481200;51464000;48476000;59710000;
Insert;EF Core;100;95826000;1292100;2610000;95659000;90935000;103675000;
Insert;EF Core;1000;825726000;45077100;91058000;878253000;699593000;935943000;
