Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Update;Optimized;1;13655800;13780000;11210000;12670000;13690000;14640000;17200000;
Update;Optimized;10;14812300;15000000;12800000;14040000;14860000;15380000;18800000;
Update;Optimized;25;21767600;21790000;17320000;19990000;21780000;23030000;26670000;
Update;Optimized;50;25479400;25520000;21500000;24020000;25340000;26590000;31040000;
Update;Optimized;100;36188900;36000000;31160000;34890000;36190000;37210000;38720000;
Update;Optimized;1000;349212800;348580000;322980000;341490000;349040000;355870000;375870000;
Update;Optimized Dapper;1;14081400;14190000;11560000;13470000;14040000;14900000;17850000;
Update;Optimized Dapper;10;16236100;16410000;12720000;14090000;16290000;18260000;22260000;
Update;Optimized Dapper;25;21821100;21780000;17970000;20270000;21720000;23360000;26910000;
Update;Optimized Dapper;50;26555000;26540000;22540000;25450000;26390000;27820000;31080000;
Update;Optimized Dapper;100;37744900;39220000;31620000;36080000;37750000;40490000;54670000;
Update;Optimized Dapper;1000;339745700;341480000;319500000;333680000;339270000;347720000;374090000;
Update;EF Core;1;19488100;19770000;17410000;18670000;19440000;20710000;24900000;
Update;EF Core;10;68386100;69340000;54320000;64040000;67220000;74760000;85550000;
Update;EF Core;25;151027400;152460000;134600000;145600000;149490000;158430000;182680000;
Update;EF Core;50;285305300;286820000;257280000;274980000;283870000;294610000;344170000;
Update;EF Core;100;522175500;525110000;496450000;513590000;521120000;541230000;570720000;
Update;EF Core;1000;4806801700;4720830000;3881250000;4097730000;5150020000;5212870000;5365090000;
