Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Insert;Optimized;1;17953000;18220000;15480000;17090000;17820000;18830000;25270000;
Insert;Optimized;10;54745700;56420000;47560000;50280000;54230000;62030000;75960000;
Insert;Optimized;25;125546100;127000000;108970000;117750000;125080000;134390000;167220000;
Insert;Optimized;50;238596700;241110000;205440000;226560000;236780000;252890000;287200000;
Insert;Optimized;100;476350600;477580000;446540000;464060000;477490000;487670000;545350000;
Insert;Optimized;1000;5700576900;5557160000;4620160000;4831040000;5844300000;5989640000;6180680000;
Insert;Optimized Dapper;1;17747000;17990000;15020000;17000000;17750000;18660000;22250000;
Insert;Optimized Dapper;10;56232000;56570000;46300000;52720000;56520000;60170000;73230000;
Insert;Optimized Dapper;25;132714000;136090000;107400000;122150000;132740000;145650000;194430000;
Insert;Optimized Dapper;50;238758900;242260000;214120000;229820000;237110000;252950000;288210000;
Insert;Optimized Dapper;100;490624500;506530000;440770000;470600000;491480000;511420000;705320000;
Insert;Optimized Dapper;1000;5790393200;5595460000;4576330000;4847820000;5918430000;6013660000;6270270000;
Insert;EF Core;1;21241500;21610000;18520000;20450000;21110000;22420000;27320000;
Insert;EF Core;10;86406000;87360000;73150000;80230000;87310000;92450000;108960000;
Insert;EF Core;25;196098800;198200000;168910000;181950000;195030000;212850000;260450000;
Insert;EF Core;50;380431500;382320000;339390000;361670000;380210000;394860000;434560000;
Insert;EF Core;100;800864800;821700000;693980000;734200000;768730000;935680000;1030620000;
Insert;EF Core;1000;8310898600;8269920000;6924470000;7239200000;8892730000;9269790000;9541420000;
