Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Delete;Optimized;1;9791900;9804000;7142000;8475000;9793000;10865000;13865000;
Delete;Optimized;10;9171100;9367000;7701000;8518000;9062000;10049000;11756000;
Delete;Optimized;25;9978400;10000000;8636000;9587000;9977000;10384000;12421000;
Delete;Optimized;50;11139900;11124000;9265000;10610000;11243000;11506000;13781000;
Delete;Optimized;100;13722000;13817000;12572000;13451000;13672000;14240000;16300000;
Delete;Optimized;1000;60222000;62836000;51419000;57645000;59925000;63342000;123899000;
Delete;Optimized;10000;670457300;676475000;548299000;630645000;665018000;721040000;860275000;
Delete;Optimized Dapper;1;8412400;8417000;7266000;8059000;8382000;8775000;9704000;
Delete;Optimized Dapper;10;8994800;9028000;8130000;8779000;8932000;9387000;10212000;
Delete;Optimized Dapper;25;15769000;15997000;11888000;14390000;15667000;17554000;23772000;
Delete;Optimized Dapper;50;18531000;19090000;15456000;17224000;18634000;20052000;25625000;
Delete;Optimized Dapper;100;22233400;23038000;15509000;19695000;21823000;25467000;35761000;
Delete;Optimized Dapper;1000;247640100;258047000;163646000;227716000;241591000;274381000;398491000;
Delete;Optimized Dapper;10000;1963458300;1929529000;1533224000;1757935000;1955883000;2065584000;2276518000;
Delete;EF Core;1;10674400;10750000;9372000;10181000;10689000;11184000;13128000;
Delete;EF Core;10;20997400;21008000;17516000;19876000;20869000;22006000;24593000;
Delete;EF Core;25;36608500;36579000;30802000;35063000;36530000;38324000;42729000;
Delete;EF Core;50;66013700;66494000;55870000;63575000;65875000;69168000;82983000;
Delete;EF Core;100;124849300;125977000;112597000;119082000;125510000;129683000;158941000;
Delete;EF Core;1000;1162820400;1167513000;1114293000;1142524000;1164612000;1189650000;1241487000;
Delete;EF Core;10000;15192835700;14902427000;11717366000;13367658000;15576000000;16227022000;16947768000;
