Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Insert;Optimized;1;11390900;12190000;8312000;10000000;11620000;13070000;25020000;
Insert;Optimized;10;11502700;11710000;10139000;11150000;11510000;12050000;15820000;
Insert;Optimized;25;15108800;15230000;12852000;13880000;15140000;16040000;19100000;
Insert;Optimized;50;20646300;21050000;18258000;19770000;20390000;22460000;26350000;
Insert;Optimized;100;33764700;34160000;29939000;31870000;33770000;35350000;41320000;
Insert;Optimized;1000;372666500;449230000;236810000;261610000;398430000;494140000;1056780000;
Insert;Optimized Dapper;1;11889900;13540000;8625000;10090000;11780000;15310000;25750000;
Insert;Optimized Dapper;10;12330100;12530000;10782000;11820000;12330000;12970000;18140000;
Insert;Optimized Dapper;25;16147300;16190000;14365000;15760000;16160000;16540000;20650000;
Insert;Optimized Dapper;50;23486100;23850000;21062000;22470000;23280000;25150000;29440000;
Insert;Optimized Dapper;100;39966100;41110000;34982000;38380000;39860000;41600000;62950000;
Insert;Optimized Dapper;1000;437301100;502380000;267275000;320430000;410170000;655720000;1139660000;
Insert;EF Core;1;13382400;14510000;10566000;12520000;13370000;14380000;27820000;
Insert;EF Core;10;16442200;16620000;14507000;15900000;16360000;17290000;19800000;
Insert;EF Core;25;28631600;29140000;24081000;27080000;28550000;30950000;40180000;
Insert;EF Core;50;54914200;55690000;46591000;52420000;54430000;60140000;66320000;
Insert;EF Core;100;100468400;101730000;84333000;95430000;100730000;105430000;130200000;
Insert;EF Core;1000;1337616900;1473820000;904192000;1050970000;1328440000;1847720000;3032150000;
