Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Update;Optimized;1;12172300;13170000;10117000;11630000;12050000;13110000;25070000;
Update;Optimized;10;12716500;12740000;10575000;11900000;12690000;13690000;14830000;
Update;Optimized;25;12770400;12940000;11373000;12170000;12770000;13430000;16230000;
Update;Optimized;50;14373200;14610000;13126000;13950000;14190000;14990000;18820000;
Update;Optimized;100;17284400;17760000;15165000;16440000;17040000;19140000;22590000;
Update;Optimized;1000;56160200;58480000;49685000;53850000;55980000;58360000;94440000;
Update;Optimized;10000;499640600;506030000;431382000;467810000;501740000;529530000;632880000;
Update;Optimized Dapper;1;14764600;20740000;9973000;11650000;12660000;23180000;90020000;
Update;Optimized Dapper;10;12727900;12820000;10621000;12000000;12640000;13570000;16290000;
Update;Optimized Dapper;25;13256700;13380000;11824000;12920000;13200000;13670000;15690000;
Update;Optimized Dapper;50;14509400;14560000;13080000;14000000;14530000;15170000;16570000;
Update;Optimized Dapper;100;18626700;18700000;16970000;18080000;18600000;19420000;20900000;
Update;Optimized Dapper;1000;175704700;177910000;154736000;165420000;177000000;183370000;218680000;
Update;Optimized Dapper;10000;1459350500;1455540000;1341474000;1418520000;1460230000;1487060000;1571280000;
Update;EF Core;1;13266600;14070000;11798000;12560000;13190000;14560000;21540000;
Update;EF Core;10;22982800;23320000;19433000;22070000;22820000;24180000;31440000;
Update;EF Core;25;40017500;40350000;35036000;38470000;40100000;41630000;46570000;
Update;EF Core;50;72157400;73260000;63662000;68430000;72210000;76360000;92660000;
Update;EF Core;100;130466300;130680000;117269000;126980000;130820000;134090000;147210000;
Update;EF Core;1000;1204563400;1207360000;1140070000;1180790000;1204080000;1228780000;1267350000;
Update;EF Core;10000;12400577200;12779160000;11557014000;11814400000;11938850000;14412560000;14946940000;
