Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Delete;Optimized;1;4510500;4595000;3506000;4282000;4439000;4820000;5837000;
Delete;Optimized;10;5072000;5197000;3809000;4661000;5044000;5710000;8155000;
Delete;Optimized;25;5131100;5219000;3948000;4756000;5125000;5565000;6835000;
Delete;Optimized;50;6118900;6247000;4717000;5364000;6074000;7030000;9037000;
Delete;Optimized;100;7816200;7816000;5765000;7029000;7771000;8636000;10389000;
Delete;Optimized;1000;68114800;67694000;45047000;65397000;68570000;70802000;78399000;
Delete;Optimized;10000;2025532000;1830913000;586962000;715838000;2122525000;2558255000;2794872000;
Delete;Optimized Dapper;1;5981800;5929000;4065000;5196000;5963000;6705000;8069000;
Delete;Optimized Dapper;10;5811100;5959000;3913000;4963000;5710000;7020000;9026000;
Delete;Optimized Dapper;25;6085000;6191000;4723000;5593000;6064000;6628000;8588000;
Delete;Optimized Dapper;50;6818300;6915000;4938000;6184000;6843000;7559000;10644000;
Delete;Optimized Dapper;100;8102400;8158000;6098000;7441000;8139000;8786000;11432000;
Delete;Optimized Dapper;1000;64898800;65946000;52167000;63799000;64880000;66645000;88576000;
Delete;Optimized Dapper;10000;2012050000;1882595000;636587000;722806000;2103390000;2565094000;5291755000;
Delete;EF Core;1;7611900;7923000;5574000;6786000;7617000;8525000;13823000;
Delete;EF Core;10;13567600;13572000;9961000;12724000;13519000;14442000;18508000;
Delete;EF Core;25;20689900;20906000;15722000;18340000;20256000;23243000;29609000;
Delete;EF Core;50;37015400;37536000;28645000;33922000;36714000;41088000;50085000;
Delete;EF Core;100;62287900;64212000;51622000;57997000;60592000;71192000;86692000;
Delete;EF Core;1000;542974100;546596000;511310000;531994000;540876000;554027000;686587000;
Delete;EF Core;10000;6590615100;6624737000;5525315000;6397470000;6571264000;6912975000;7908243000;
