Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Insert;Optimized;1;5272900;5420000;3672000;4478000;5146000;6118000;8436000;
Insert;Optimized;10;6358500;6522000;4574000;5742000;6194000;7174000;9125000;
Insert;Optimized;25;7970200;8135000;6309000;6856000;7994000;8753000;14854000;
Insert;Optimized;50;11542100;12638000;8835000;10972000;11557000;12331000;37795000;
Insert;Optimized;100;20439300;30122000;16131000;17690000;19303000;32629000;84238000;
Insert;Optimized;1000;251586700;273626000;123195000;191088000;240943000;329376000;820892000;
Insert;Optimized Dapper;1;5945700;6009000;4224000;5122000;5929000;6670000;9101000;
Insert;Optimized Dapper;10;6893000;7008000;4952000;6221000;6763000;7624000;10899000;
Insert;Optimized Dapper;25;7736000;7828000;5768000;6946000;7717000;8459000;11507000;
Insert;Optimized Dapper;50;11340500;13421000;9848000;10552000;11234000;12208000;39633000;
Insert;Optimized Dapper;100;18775300;21711000;16701000;17643000;18578000;20857000;51203000;
Insert;Optimized Dapper;1000;240339000;287800000;127427000;132278000;252781000;381439000;1355866000;
Insert;EF Core;1;7037700;7281000;4945000;6122000;6991000;7755000;12511000;
Insert;EF Core;10;8678200;8766000;6944000;7922000;8652000;9340000;11816000;
Insert;EF Core;25;14276400;14443000;12470000;13435000;14207000;15203000;18985000;
Insert;EF Core;50;27547400;28122000;23655000;26147000;27569000;28646000;53470000;
Insert;EF Core;100;44978500;53069000;41095000;43657000;44977000;48309000;146901000;
Insert;EF Core;1000;763382200;825446000;388660000;466159000;775918000;1112050000;1997386000;
