Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Update;Optimized;1;5073300;5394000;3857000;4429000;4955000;5790000;10075000;
Update;Optimized;10;5512300;5828000;3781000;4682000;5637000;6325000;13555000;
Update;Optimized;25;5457100;5645000;3845000;4652000;5296000;6365000;10151000;
Update;Optimized;50;5869100;6004000;4901000;5473000;5796000;6396000;8668000;
Update;Optimized;100;7186600;7179000;5325000;6765000;7159000;7778000;10362000;
Update;Optimized;1000;62470400;64039000;59397000;61376000;62375000;64262000;79148000;
Update;Optimized;10000;608314600;674563000;533847000;570725000;582988000;770154000;1154546000;
Update;Optimized Dapper;1;6696000;6809000;5080000;6036000;6635000;7555000;9486000;
Update;Optimized Dapper;10;5972100;5966000;3567000;4685000;6110000;7076000;8706000;
Update;Optimized Dapper;25;5935100;5958000;3862000;5440000;5950000;6289000;7930000;
Update;Optimized Dapper;50;6218400;6289000;4761000;5611000;6163000;6823000;9067000;
Update;Optimized Dapper;100;7308100;7430000;5481000;6554000;7305000;8224000;10448000;
Update;Optimized Dapper;1000;62289100;65414000;57964000;60285000;61416000;69933000;91686000;
Update;Optimized Dapper;10000;575080200;669676000;515612000;538614000;556748000;753556000;1377142000;
Update;EF Core;1;8072400;8201000;5763000;7298000;8077000;8659000;12668000;
Update;EF Core;10;12853200;12853000;9608000;12014000;13062000;13389000;16726000;
Update;EF Core;25;21173500;21176000;15743000;18552000;21683000;23387000;28347000;
Update;EF Core;50;34826100;35638000;29755000;32658000;34596000;38663000;49274000;
Update;EF Core;100;60868300;62384000;50635000;57218000;60023000;65466000;82874000;
Update;EF Core;1000;520989400;521318000;479125000;510618000;520059000;530344000;560872000;
Update;EF Core;10000;5192577500;5198343000;5018573000;5153700000;5195374000;5231127000;5442880000;
