Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Delete;Optimized;1;8819200;8975000;7044000;8263000;8805000;9594000;12170000;
Delete;Optimized;10;9789000;9909000;7585000;8954000;9709000;10817000;12710000;
Delete;Optimized;25;11102900;11236000;9093000;10582000;11074000;11773000;15900000;
Delete;Optimized;50;13530600;13623000;11330000;12883000;13438000;14337000;16520000;
Delete;Optimized;100;16779800;16940000;14155000;16307000;16723000;17431000;23040000;
Delete;Optimized;1000;60829700;61170000;55436000;58420000;60929000;63171000;72970000;
Delete;Optimized;10000;683438600;677677000;523475000;560498000;706189000;751765000;896430000;
Delete;Optimized Dapper;1;11335000;11449000;8118000;10627000;11318000;12271000;15010000;
Delete;Optimized Dapper;10;11817800;12067000;9235000;11129000;11747000;12658000;16470000;
Delete;Optimized Dapper;25;13151100;13331000;10862000;12615000;13062000;13874000;18570000;
Delete;Optimized Dapper;50;13939400;14122000;12370000;13284000;13896000;14737000;19220000;
Delete;Optimized Dapper;100;17767700;17842000;14957000;16943000;17734000;18771000;21010000;
Delete;Optimized Dapper;1000;66457300;67013000;56133000;63297000;66315000;69770000;83470000;
Delete;Optimized Dapper;10000;560836300;565948000;514623000;543542000;559726000;582723000;651690000;
Delete;EF Core;1;12204100;12280000;10476000;11531000;12247000;12784000;14890000;
Delete;EF Core;10;15377100;15408000;12914000;14381000;15450000;16366000;19010000;
Delete;EF Core;25;20458500;20599000;15236000;18809000;20326000;22623000;29580000;
Delete;EF Core;50;26040200;25626000;17642000;23887000;25762000;28142000;32040000;
Delete;EF Core;100;40708200;40932000;23407000;35934000;40593000;45188000;62240000;
Delete;EF Core;1000;317100700;318021000;235271000;282913000;314189000;351709000;432810000;
Delete;EF Core;10000;3166100400;3174606000;2789907000;3051747000;3167372000;3269805000;3794700000;
