Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Insert;Optimized;1;8992900;9189000;7016000;8209000;9013000;9966000;13740000;
Insert;Optimized;10;10104900;10426000;7575000;9113000;10038000;11462000;15280000;
Insert;Optimized;25;12602700;13102000;10114000;11909000;12385000;13969000;18980000;
Insert;Optimized;50;17160800;17675000;12534000;14556000;17139000;19871000;28900000;
Insert;Optimized;100;20816200;21241000;17058000;19333000;20855000;22743000;30550000;
Insert;Optimized;1000;81495400;86084000;68445000;75966000;81741000;87667000;166010000;
Insert;Optimized;10000;718947300;722111000;688508000;708361000;717676000;732718000;766770000;
Insert;Optimized Dapper;1;8134800;8223000;6669000;7160000;8035000;9056000;11170000;
Insert;Optimized Dapper;10;9736400;9760000;7614000;8728000;9960000;10412000;13210000;
Insert;Optimized Dapper;25;12017500;12450000;10001000;10914000;11738000;13942000;16760000;
Insert;Optimized Dapper;50;15220600;15470000;11833000;13419000;14792000;16984000;21000000;
Insert;Optimized Dapper;100;19910000;20094000;15753000;17790000;20051000;21373000;29290000;
Insert;Optimized Dapper;1000;68371100;68261000;61620000;66450000;68087000;70211000;74690000;
Insert;Optimized Dapper;10000;714104600;715674000;676368000;702681000;713410000;730056000;757640000;
Insert;EF Core;1;9543300;9747000;7457000;8980000;9533000;10137000;14570000;
Insert;EF Core;10;11438000;11642000;8928000;10705000;11438000;12301000;17060000;
Insert;EF Core;25;14080500;14402000;10987000;12758000;14082000;16170000;18630000;
Insert;EF Core;50;18414300;18733000;14462000;16240000;18483000;20379000;26170000;
Insert;EF Core;100;23563700;23797000;18614000;21972000;23482000;25257000;34100000;
Insert;EF Core;1000;91073100;91741000;81697000;88219000;90120000;94690000;105310000;
Insert;EF Core;10000;825033000;826187000;776767000;812929000;824562000;839562000;867520000;
