Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Update;Optimized;1;8768600;8802000;7240000;8371000;8763000;9108000;12050000;
Update;Optimized;10;9019000;9024000;6903000;8495000;9026000;9508000;10930000;
Update;Optimized;25;9817800;9900000;7192000;9214000;9815000;10303000;12500000;
Update;Optimized;50;10859800;11052000;9527000;10297000;10791000;11614000;15130000;
Update;Optimized;100;13811200;14013000;11656000;13137000;13836000;14629000;18900000;
Update;Optimized;1000;52542600;52884000;48655000;51435000;52313000;54129000;60830000;
Update;Optimized;10000;454253600;457262000;426887000;444157000;453374000;467090000;512550000;
Update;Optimized Dapper;1;8366900;8513000;6914000;7897000;8323000;8964000;12400000;
Update;Optimized Dapper;10;9200400;9176000;7584000;8652000;9255000;9577000;10800000;
Update;Optimized Dapper;25;9408500;9418000;7726000;8945000;9396000;9825000;11240000;
Update;Optimized Dapper;50;11000600;11099000;9434000;10642000;10982000;11438000;13630000;
Update;Optimized Dapper;100;13283900;13521000;11751000;12733000;13280000;14022000;18180000;
Update;Optimized Dapper;1000;52837000;53123000;47283000;51096000;52646000;54832000;62860000;
Update;Optimized Dapper;10000;517479100;508961000;433241000;494777000;520304000;529862000;571920000;
Update;EF Core;1;12107600;12153000;10282000;11403000;12090000;12871000;15460000;
Update;EF Core;10;15678500;15728000;12952000;14937000;15715000;16468000;19350000;
Update;EF Core;25;21261200;21442000;16499000;19698000;21408000;22733000;31000000;
Update;EF Core;50;29844200;30073000;21069000;26840000;30055000;32621000;42090000;
Update;EF Core;100;50416500;49617000;29742000;43421000;50770000;55481000;72880000;
Update;EF Core;1000;357245000;357594000;270716000;334211000;357747000;383235000;449180000;
Update;EF Core;10000;3534729100;3505292000;2845772000;3432607000;3553392000;3649898000;3875820000;
