Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Delete;Optimized;1;15437500;15640000;11320000;14570000;15350000;16600000;22040000;
Delete;Optimized;10;16568300;16630000;13630000;15640000;16560000;17550000;20950000;
Delete;Optimized;25;18067900;18520000;14230000;16930000;17870000;19540000;29360000;
Delete;Optimized;50;19976200;20160000;15470000;19110000;19770000;21360000;27490000;
Delete;Optimized;100;22580500;23050000;18730000;21150000;22510000;24020000;33780000;
Delete;Optimized;1000;64719200;65550000;55880000;61480000;64590000;68390000;93460000;
Delete;Optimized;10000;588913000;590330000;548190000;576250000;587930000;601690000;645200000;
Delete;Optimized Dapper;1;14034800;14040000;10220000;13150000;14010000;14750000;17770000;
Delete;Optimized Dapper;10;14589200;14720000;11380000;13740000;14500000;15530000;19920000;
Delete;Optimized Dapper;25;16131500;16410000;12960000;15040000;16120000;17400000;21570000;
Delete;Optimized Dapper;50;17578600;17940000;14670000;16910000;17470000;18580000;24480000;
Delete;Optimized Dapper;100;20773100;21140000;17700000;19690000;20750000;21980000;27690000;
Delete;Optimized Dapper;1000;64245000;65670000;55330000;61020000;63780000;69360000;89780000;
Delete;Optimized Dapper;10000;673455000;676950000;633390000;661860000;672940000;687850000;783020000;
Delete;EF Core;1;18812100;19050000;15780000;17890000;18710000;19920000;23930000;
Delete;EF Core;10;23063500;23510000;18730000;21680000;23060000;24810000;33360000;
Delete;EF Core;25;29982700;30530000;23740000;28020000;29950000;31970000;45920000;
Delete;EF Core;50;35574700;35750000;27410000;33410000;35560000;38160000;47940000;
Delete;EF Core;100;55079400;55950000;36560000;50310000;54060000;61020000;79410000;
Delete;EF Core;1000;407484400;411460000;307310000;382490000;405480000;437040000;577810000;
Delete;EF Core;10000;4930213100;4824890000;3957440000;4474030000;4967100000;5123210000;5523380000;
