Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Insert;Optimized;1;16731600;16930000;14270000;15870000;16620000;17710000;22000000;
Insert;Optimized;10;18589000;19400000;15590000;17680000;18630000;19820000;38310000;
Insert;Optimized;25;20335400;20730000;16020000;18700000;20100000;22310000;31190000;
Insert;Optimized;50;24028900;24100000;18750000;22320000;24010000;25640000;31270000;
Insert;Optimized;100;31055200;31710000;23210000;28910000;30780000;33640000;45580000;
Insert;Optimized;1000;103734000;104890000;88410000;97480000;104100000;109770000;145100000;
Insert;Optimized;10000;957915500;961070000;897770000;940550000;956480000;982440000;1031890000;
Insert;Optimized Dapper;1;15016200;15380000;11050000;13980000;14860000;16840000;22260000;
Insert;Optimized Dapper;10;15632500;15970000;13250000;14750000;15480000;16910000;20400000;
Insert;Optimized Dapper;25;17387300;17890000;13870000;16240000;17380000;19280000;28130000;
Insert;Optimized Dapper;50;20523800;20730000;15910000;18370000;20760000;22260000;28910000;
Insert;Optimized Dapper;100;27139800;27720000;21900000;24960000;26830000;29770000;40940000;
Insert;Optimized Dapper;1000;88109100;88600000;77070000;84530000;87950000;92530000;108460000;
Insert;Optimized Dapper;10000;943851600;930100000;797030000;903990000;944150000;974320000;1039160000;
Insert;EF Core;1;18430500;18830000;16190000;17550000;18370000;19520000;30410000;
Insert;EF Core;10;20412100;21450000;16720000;19230000;20390000;21770000;40710000;
Insert;EF Core;25;23170200;23600000;18750000;21720000;23030000;25210000;30980000;
Insert;EF Core;50;27557900;28040000;22030000;25530000;27490000;29300000;40230000;
Insert;EF Core;100;35786400;36410000;30440000;33520000;35450000;38780000;49220000;
Insert;EF Core;1000;133979600;134620000;116710000;128300000;133910000;140680000;154850000;
Insert;EF Core;10000;1069373800;1085960000;936640000;1014310000;1057240000;1161990000;1322740000;
