Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Update;Optimized;1;13799600;13960000;11590000;13030000;13800000;14410000;20290000;
Update;Optimized;10;14847600;15090000;11780000;14090000;14800000;15930000;22380000;
Update;Optimized;25;16249500;16620000;13450000;15180000;16180000;17340000;25100000;
Update;Optimized;50;17461100;17570000;14370000;16590000;17450000;18400000;22780000;
Update;Optimized;100;20791800;20890000;17490000;19610000;20800000;21950000;26230000;
Update;Optimized;1000;61016500;61710000;52180000;57620000;60620000;64920000;76750000;
Update;Optimized;10000;577991400;572690000;463340000;560440000;576990000;595520000;648880000;
Update;Optimized Dapper;1;16186400;16210000;13570000;15550000;16150000;16930000;18850000;
Update;Optimized Dapper;10;17480100;17780000;14810000;16400000;17480000;18540000;26050000;
Update;Optimized Dapper;25;18389300;18530000;16110000;17730000;18420000;19220000;22670000;
Update;Optimized Dapper;50;20468300;20810000;17560000;19320000;20590000;21700000;28200000;
Update;Optimized Dapper;100;23714700;23940000;20460000;22630000;23670000;24930000;32190000;
Update;Optimized Dapper;1000;72017300;72480000;61160000;68720000;72300000;75800000;94690000;
Update;Optimized Dapper;10000;508114900;513330000;448890000;489900000;509000000;533430000;607070000;
Update;EF Core;1;15765100;16110000;12870000;14720000;15660000;17230000;24090000;
Update;EF Core;10;19043200;19410000;16750000;17960000;18890000;20000000;27490000;
Update;EF Core;25;24970200;25530000;20450000;23500000;24800000;26720000;37380000;
Update;EF Core;50;35905000;36260000;25720000;33550000;35820000;39020000;58130000;
Update;EF Core;100;57654300;57650000;43500000;52130000;57240000;63150000;77170000;
Update;EF Core;1000;428475900;429140000;342960000;401340000;426780000;452780000;555010000;
Update;EF Core;10000;4745225400;4827390000;4048030000;4485620000;4679150000;5196540000;6128160000;
