Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Delete;Optimized;1;3846300;3868000;3500000;3703000;3866000;3986000;4748000;
Delete;Optimized;10;4368500;4381000;3798000;4192000;4390000;4586000;4868000;
Delete;Optimized;25;4941400;4998000;4111000;4734000;4938000;5153000;7431000;
Delete;Optimized;50;5855500;5842000;5218000;5603000;5887000;5999000;6561000;
Delete;Optimized;100;7231200;7252000;6207000;6950000;7182000;7547000;8791000;
Delete;Optimized;1000;33472900;34114000;29463000;31611000;33566000;35566000;47089000;
Delete;Optimized;10000;503189300;503208000;407729000;489185000;501745000;524326000;567228000;
Delete;Optimized Dapper;1;4432400;4445000;3852000;4200000;4401000;4682000;5287000;
Delete;Optimized Dapper;10;4721800;4729000;4044000;4521000;4734000;4891000;5349000;
Delete;Optimized Dapper;25;5297300;5900000;4657000;5014000;5308000;5738000;17152000;
Delete;Optimized Dapper;50;6304900;6344000;5729000;6105000;6291000;6494000;7400000;
Delete;Optimized Dapper;100;8448200;8457000;7134000;8206000;8431000;8723000;9571000;
Delete;Optimized Dapper;1000;35260400;36086000;30524000;33215000;35216000;37638000;50618000;
Delete;Optimized Dapper;10000;516135600;514499000;435726000;492754000;516782000;535966000;595431000;
Delete;EF Core;1;6130300;6158000;4984000;5868000;6110000;6479000;7432000;
Delete;EF Core;10;6913900;7107000;5789000;6543000;6928000;7366000;10942000;
Delete;EF Core;25;26036400;29100000;7157000;7994000;9087000;53849000;66953000;
Delete;EF Core;50;43998200;40209000;9363000;10730000;55794000;59045000;70556000;
Delete;EF Core;100;40313900;39936000;12641000;15276000;58102000;62559000;67944000;
Delete;EF Core;1000;99151400;99799000;88994000;93761000;99503000;104858000;118923000;
Delete;EF Core;10000;939486900;926239000;824636000;877716000;943058000;968404000;1009667000;
