Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Insert;Optimized;1;2365600;2412000;2075000;2244000;2350000;2510000;3150000;
Insert;Optimized;10;2840100;2843000;1903000;2540000;2822000;3127000;4135000;
Insert;Optimized;25;3093300;3078000;1999000;2566000;3056000;3468000;4357000;
Insert;Optimized;50;4121400;4137000;2856000;3333000;4251000;4810000;5559000;
Insert;Optimized;100;5418500;5404000;4274000;4763000;5557000;5894000;7030000;
Insert;Optimized;1000;22497600;22508000;20831000;21890000;22498000;22923000;25277000;
Insert;Optimized;10000;305607400;311089000;249428000;291697000;301463000;335224000;399303000;
Insert;Optimized Dapper;1;2234400;2385000;1661000;1849000;2162000;2820000;4159000;
Insert;Optimized Dapper;10;2641100;2586000;1750000;2381000;2637000;2798000;3152000;
Insert;Optimized Dapper;25;3179100;3136000;2595000;2858000;3219000;3329000;3697000;
Insert;Optimized Dapper;50;4162000;4130000;2963000;3441000;4176000;4586000;6479000;
Insert;Optimized Dapper;100;5164300;5271000;4125000;4655000;5172000;5668000;7264000;
Insert;Optimized Dapper;1000;22952100;23012000;21068000;22049000;22992000;23951000;26014000;
Insert;Optimized Dapper;10000;304599900;307580000;240039000;293419000;302149000;327096000;365087000;
Insert;EF Core;1;3427100;3444000;2712000;3037000;3446000;3777000;4466000;
Insert;EF Core;10;19316700;26037000;2805000;4101000;6362000;52623000;106373000;
Insert;EF Core;25;31728900;32908000;4118000;6370000;49079000;54598000;102402000;
Insert;EF Core;50;21281300;28481000;4803000;5910000;8443000;55861000;101597000;
Insert;EF Core;100;41682300;41369000;6401000;8858000;55045000;62790000;103798000;
Insert;EF Core;1000;42169600;42563000;37716000;40541000;41907000;44086000;50444000;
Insert;EF Core;10000;453198800;453461000;421179000;446403000;451770000;461210000;481747000;
