Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Update;Optimized;1;4393700;4420000;3722000;4197000;4416000;4627000;5355000;
Update;Optimized;10;4900200;4986000;4255000;4723000;4897000;5130000;6109000;
Update;Optimized;25;5566700;5574000;4755000;5352000;5553000;5780000;6225000;
Update;Optimized;50;6846700;6935000;5996000;6522000;6837000;7218000;8759000;
Update;Optimized;100;9362600;9481000;8340000;9022000;9355000;9832000;12275000;
Update;Optimized;1000;74907500;74872000;43384000;52585000;85003000;93087000;120236000;
Update;Optimized;10000;830685300;810866000;434593000;552660000;908158000;995223000;1223091000;
Update;Optimized Dapper;1;4260600;4279000;3813000;4119000;4262000;4394000;4971000;
Update;Optimized Dapper;10;4826900;4821000;4065000;4586000;4839000;5038000;5665000;
Update;Optimized Dapper;25;5084400;5096000;4538000;4916000;5104000;5226000;5963000;
Update;Optimized Dapper;50;6148700;6234000;5207000;5933000;6161000;6348000;9262000;
Update;Optimized Dapper;100;8229700;8371000;7035000;7892000;8180000;8673000;11650000;
Update;Optimized Dapper;1000;61268200;65317000;37327000;45111000;52500000;92706000;106717000;
Update;Optimized Dapper;10000;930096100;873201000;411987000;678420000;938306000;1039916000;1167755000;
Update;EF Core;1;5192100;5214000;4309000;4999000;5183000;5438000;6054000;
Update;EF Core;10;6711500;6794000;5706000;6374000;6686000;7103000;8687000;
Update;EF Core;25;25151400;28787000;6440000;7613000;9174000;52663000;67456000;
Update;EF Core;50;31836500;33041000;9167000;10274000;32346000;56044000;64783000;
Update;EF Core;100;37161300;38613000;13153000;15007000;21205000;62532000;77079000;
Update;EF Core;1000;119964400;120109000;105060000;112905000;120293000;125860000;138792000;
Update;EF Core;10000;1190904500;1196594000;1117940000;1158726000;1190240000;1231037000;1370937000;
