Method;Variant;Rows;Mean;Error;StdDev;Median;Min;Max;
Delete;Optimized;1;438800;21040;42500;437500;353800;533000;
Delete;Optimized;10;523500;33280;67230;516300;407100;689800;
Delete;Optimized;25;600400;57930;117010;579900;475400;1095000;
Delete;Optimized;50;768700;80440;162490;718600;568600;1400000;
Delete;Optimized;100;1022200;97170;196290;972200;843600;1638900;
Delete;Optimized;1000;4805300;572280;1156030;4451600;3250200;8005700;
Delete;Optimized;10000;76175600;3384150;6836150;76751600;60424600;91396900;
Delete;Optimized Dapper;1;457400;61760;124750;418800;357200;1104700;
Delete;Optimized Dapper;10;486800;17490;35330;472600;427300;556200;
Delete;Optimized Dapper;25;566200;54650;110390;546700;455400;1260400;
Delete;Optimized Dapper;50;718600;52330;105720;689100;557700;1110600;
Delete;Optimized Dapper;100;965200;81900;165430;931600;789800;1584500;
Delete;Optimized Dapper;1000;4848700;500930;1011900;4647200;3423400;6781300;
Delete;Optimized Dapper;10000;93786700;3801520;7679250;94763900;74866500;107066200;
Delete;EF Core;1;556700;40980;82790;538300;462400;831100;
Delete;EF Core;10;811900;127740;258030;722600;601400;2004600;
Delete;EF Core;25;1152700;109600;221390;1112700;904700;2266200;
Delete;EF Core;50;1479600;135590;273900;1379700;1190600;2676500;
Delete;EF Core;100;2345200;511640;1033530;2124600;1457000;7040700;
Delete;EF Core;1000;10445500;877000;1771580;10470400;7099400;14255100;
Delete;EF Core;10000;94548900;5966130;12051890;91247700;72301500;120051500;
