Method;Variant;Rows;Mean;Error;StdDev;Min;Max;Median;
Update;Optimized;1;415700;18890;38170;365500;537600;402300;
Update;Optimized;10;465400;27330;55200;389500;632500;451100;
Update;Optimized;25;523700;26430;53400;414600;648900;518900;
Update;Optimized;50;611500;58330;117830;494200;1266600;596000;
Update;Optimized;100;822300;69870;141140;630500;1486700;797400;
Update;Optimized;1000;3372900;161610;326460;2915600;4337700;3310100;
Update;Optimized;10000;36187000;1375950;2779490;30016100;42827500;36247300;
Update;Optimized Dapper;1;428500;13030;26330;382500;489000;428500;
Update;Optimized Dapper;10;463600;10790;21790;423900;549300;462000;
Update;Optimized Dapper;25;528900;15290;30890;471600;606000;527500;
Update;Optimized Dapper;50;643400;86340;174410;554400;1501400;600700;
Update;Optimized Dapper;100;837500;40560;81930;727000;1114900;820400;
Update;Optimized Dapper;1000;3298000;142690;288250;2791600;4008900;3263200;
Update;Optimized Dapper;10000;33789200;1792190;3620310;26982500;45296000;34650600;
Update;EF Core;1;382300;19240;38870;309300;546200;372200;
Update;EF Core;10;476400;15320;30950;428900;570900;471000;
Update;EF Core;25;640600;63440;128160;532900;1244300;625400;
Update;EF Core;50;902100;79150;159900;760700;1671400;869100;
Update;EF Core;100;1379900;98910;199800;1130800;2370000;1339800;
Update;EF Core;1000;7224900;330110;666840;5910700;8530800;7268400;
Update;EF Core;10000;65359500;1833300;3703370;59569900;71644800;64792200;
