Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Delete;Optimized;1;9403000;9417000;7967000;9035000;9380000;9768000;11460000;
Delete;Optimized;10;9988900;9964000;8900000;9656000;10017000;10176000;10970000;
Delete;Optimized;25;11448800;11617000;9582000;10937000;11394000;12034000;14600000;
Delete;Optimized;50;13800600;13904000;12318000;13341000;13845000;14484000;15840000;
Delete;Optimized;100;16690100;16859000;15380000;16323000;16767000;17032000;24400000;
Delete;Optimized;1000;121642300;123240000;95443000;103474000;122511000;141300000;168760000;
Delete;Optimized;10000;1224180800;1224058000;1019854000;1169448000;1218810000;1270356000;1420350000;
Delete;Optimized Dapper;1;9750700;9797000;8470000;9228000;9840000;10246000;11840000;
Delete;Optimized Dapper;10;10247000;10468000;8100000;9606000;10113000;10961000;15850000;
Delete;Optimized Dapper;25;11711400;12174000;10270000;11148000;11598000;12724000;18940000;
Delete;Optimized Dapper;50;14092500;14502000;12628000;13491000;14183000;14745000;20550000;
Delete;Optimized Dapper;100;16870100;17865000;15031000;16095000;16775000;17958000;30370000;
Delete;Optimized Dapper;1000;121158900;124844000;94864000;105887000;121101000;138720000;188190000;
Delete;Optimized Dapper;10000;1164984100;1158001000;881825000;1062347000;1166377000;1241240000;1406610000;
Delete;EF Core;1;9341500;9383000;8274000;8998000;9283000;9724000;10660000;
Delete;EF Core;10;9804500;9864000;8634000;9415000;9749000;10226000;11540000;
Delete;EF Core;25;10928600;10911000;9657000;10497000;10878000;11311000;12280000;
Delete;EF Core;50;13655300;13765000;12241000;13279000;13630000;14084000;15850000;
Delete;EF Core;100;18103600;18548000;15603000;17529000;18111000;18884000;24450000;
Delete;EF Core;1000;104750700;106921000;91080000;97156000;104240000;113402000;145050000;
Delete;EF Core;10000;1023649500;1032151000;959541000;1003655000;1021760000;1061938000;1149800000;
