Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Insert;Optimized;1;4861300;5054000;2598000;4019000;4719000;6014000;8723000;
Insert;Optimized;10;5554600;5604000;3604000;4953000;5548000;6255000;7898000;
Insert;Optimized;25;6119100;6154000;4692000;5595000;6134000;6635000;7995000;
Insert;Optimized;50;6705300;6760000;4960000;5963000;6848000;7275000;9044000;
Insert;Optimized;100;9306000;9401000;7821000;8705000;9390000;9881000;12366000;
Insert;Optimized;1000;37090800;37293000;34747000;35635000;37242000;38305000;41625000;
Insert;Optimized;10000;358790400;359273000;339336000;347352000;360705000;368462000;384032000;
Insert;Optimized Dapper;1;5337100;5534000;3057000;4331000;5159000;6806000;9109000;
Insert;Optimized Dapper;10;5595000;5657000;4019000;4625000;5736000;6322000;8580000;
Insert;Optimized Dapper;25;5854900;5950000;4305000;5043000;5901000;6639000;9254000;
Insert;Optimized Dapper;50;6486800;6530000;4835000;5818000;6491000;7239000;9306000;
Insert;Optimized Dapper;100;9756700;9677000;7430000;8917000;9745000;10480000;11771000;
Insert;Optimized Dapper;1000;36240300;36376000;32725000;35148000;36208000;37684000;40133000;
Insert;Optimized Dapper;10000;363758700;362639000;337382000;353480000;364660000;371322000;396438000;
Insert;EF Core;1;6107100;6174000;4331000;5471000;6103000;6836000;9444000;
Insert;EF Core;10;6438600;6441000;4633000;5701000;6442000;7043000;8384000;
Insert;EF Core;25;7736000;7680000;5508000;6984000;7822000;8386000;10042000;
Insert;EF Core;50;10558300;10642000;9159000;10085000;10523000;11084000;12728000;
Insert;EF Core;100;15301600;15406000;13327000;14460000;15243000;16236000;18070000;
Insert;EF Core;1000;92848100;93263000;87631000;90477000;92870000;95986000;102349000;
Insert;EF Core;10000;892772200;900908000;864323000;880924000;891977000;908866000;1034656000;
