Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Update;Optimized;1;10355400;10838000;8756000;9962000;10306000;11010000;17140000;
Update;Optimized;10;10554500;10583000;9405000;10222000;10544000;10930000;12660000;
Update;Optimized;25;11688300;11727000;10197000;11269000;11694000;12030000;15150000;
Update;Optimized;50;13556200;13637000;11797000;13084000;13565000;13910000;16880000;
Update;Optimized;100;15230600;15353000;12472000;14204000;15371000;16390000;18190000;
Update;Optimized;1000;67203700;68039000;60612000;63912000;66963000;70750000;86370000;
Update;Optimized;10000;604289100;606499000;556386000;581913000;607436000;623890000;677080000;
Update;Optimized Dapper;1;10199500;10533000;8740000;9742000;10190000;10860000;16400000;
Update;Optimized Dapper;10;10519400;10548000;9224000;10248000;10494000;10870000;12340000;
Update;Optimized Dapper;25;11588600;11585000;8816000;11065000;11627000;12100000;13080000;
Update;Optimized Dapper;50;14001600;14194000;12601000;13261000;14010000;14710000;18360000;
Update;Optimized Dapper;100;14455700;14652000;12805000;13857000;14515000;14970000;18970000;
Update;Optimized Dapper;1000;56235500;56570000;51171000;54167000;56475000;58300000;70690000;
Update;Optimized Dapper;10000;524504400;526652000;486650000;508621000;524618000;537560000;610930000;
Update;EF Core;1;9694100;9741000;8770000;9269000;9659000;10170000;11840000;
Update;EF Core;10;9988500;9999000;9063000;9595000;9997000;10310000;11060000;
Update;EF Core;25;11716600;11869000;10133000;11007000;11777000;12530000;15130000;
Update;EF Core;50;14666600;14934000;13235000;14189000;14542000;15320000;18300000;
Update;EF Core;100;19694500;20075000;17551000;18544000;19618000;21450000;25340000;
Update;EF Core;1000;111257500;112385000;102399000;106244000;110860000;117460000;131580000;
Update;EF Core;10000;1259485400;1228620000;1015221000;1139074000;1263777000;1303980000;1399470000;
