Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Delete;Optimized;1;758792;807500;535800;608000;760300;988400;1324000;
Delete;Optimized;10;972850;1000100;732300;882000;965600;1090600;1520100;
Delete;Optimized;25;1225225;1260700;894400;1111600;1217800;1371800;1831500;
Delete;Optimized;50;1643759;1686800;1362900;1539300;1636200;1777200;2408200;
Delete;Optimized;100;2537639;2540200;2035800;2366300;2528300;2709700;3294100;
Delete;Optimized;1000;19034993;22117300;10084800;12920400;18660300;30624900;45945500;
Delete;Optimized;10000;318784077;304358000;174192800;274437000;325500400;340942100;366914700;
Delete;Optimized Dapper;1;717270;758000;567600;635300;714500;851200;1314200;
Delete;Optimized Dapper;10;960464;1011600;771000;850000;948500;1111800;1571500;
Delete;Optimized Dapper;25;1346212;1363700;975300;1228800;1351200;1453800;1859700;
Delete;Optimized Dapper;50;1727181;1739700;1387100;1636600;1723700;1837700;2145300;
Delete;Optimized Dapper;100;2568163;2618700;2097300;2382100;2557800;2723500;3555500;
Delete;Optimized Dapper;1000;19495927;22296100;10284000;13477900;17905300;30350800;51324700;
Delete;Optimized Dapper;10000;316761023;305896400;147702000;278582700;323997300;344065300;389100800;
Delete;EF Core;1;849641;863100;548700;778600;833200;965600;1288600;
Delete;EF Core;10;1016763;1034000;790600;906800;1011200;1127300;1459100;
Delete;EF Core;25;2774711;2620800;1101400;1532200;2843600;3173400;4700800;
Delete;EF Core;50;4118904;4036300;1733900;3648600;4087900;4631900;5887800;
Delete;EF Core;100;5480558;5616500;4162400;4892300;5462100;6145600;8236200;
Delete;EF Core;1000;28541429;31240900;17652500;23581000;26810300;39011100;63596000;
Delete;EF Core;10000;336157397;325759000;193898800;284130200;346336600;361381800;453683200;
