Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Insert;Optimized;1;1804900;1911000;1646000;1750000;1800000;1872000;4828000;
Insert;Optimized;10;2441400;2456000;2205000;2352000;2442000;2539000;2837000;
Insert;Optimized;25;4711600;4677000;3109000;4509000;4699000;4941000;6032000;
Insert;Optimized;50;6949200;6971000;6113000;6632000;6940000;7264000;9020000;
Insert;Optimized;100;9798500;9805000;8024000;9226000;9744000;10407000;12284000;
Insert;Optimized;1000;72759800;74467000;51964000;61739000;71065000;87512000;104218000;
Insert;Optimized;10000;1100463900;1104733000;925588000;1031410000;1081169000;1195153000;1270518000;
Insert;Optimized Dapper;1;1836900;1967000;1638000;1772000;1832000;1903000;5092000;
Insert;Optimized Dapper;10;2446300;2468000;2201000;2374000;2447000;2527000;3877000;
Insert;Optimized Dapper;25;4527900;4481000;3037000;4285000;4496000;4833000;6809000;
Insert;Optimized Dapper;50;6735000;6930000;5854000;6361000;6675000;7384000;9654000;
Insert;Optimized Dapper;100;10450200;10768000;7890000;10011000;10373000;11305000;18291000;
Insert;Optimized Dapper;1000;80218700;83333000;57502000;68967000;78301000;96728000;126017000;
Insert;Optimized Dapper;10000;1179522900;1166419000;946028000;1118328000;1186517000;1233398000;1321819000;
Insert;EF Core;1;1679000;1681000;1509000;1613000;1688000;1732000;1905000;
Insert;EF Core;10;2689800;2704000;2373000;2594000;2696000;2776000;3138000;
Insert;EF Core;25;5686600;5608000;4059000;5458000;5698000;5939000;6926000;
Insert;EF Core;50;8577000;8610000;7281000;8252000;8599000;8953000;10075000;
Insert;EF Core;100;14221600;14264000;11631000;13626000;14236000;14846000;17961000;
Insert;EF Core;1000;97260000;98287000;75566000;87385000;97012000;109563000;129982000;
Insert;EF Core;10000;1252120100;1239751000;995563000;1196886000;1253080000;1304583000;1388497000;
