Method;Variant;Rows;MeanNoOut;Mean;Min;Q1;Median;Q3;Max;
Update;Optimized;1;1607300;1611000;1419000;1532000;1592000;1696000;1812000;
Update;Optimized;10;1834700;1836000;1695000;1796000;1833000;1870000;2070000;
Update;Optimized;25;2314900;2314000;2099000;2252000;2318000;2371000;2501000;
Update;Optimized;50;3152400;3168000;2906000;3096000;3151000;3211000;3639000;
Update;Optimized;100;4809800;4835000;4216000;4720000;4795000;4954000;5447000;
Update;Optimized;1000;25930700;25663000;23086000;24704000;26005000;26483000;27793000;
Update;Optimized;10000;288281000;287845000;263327000;280732000;288492000;294947000;309421000;
Update;Optimized Dapper;1;1598900;1596000;1394000;1495000;1612000;1664000;1798000;
Update;Optimized Dapper;10;1783000;1784000;1632000;1719000;1786000;1855000;2066000;
Update;Optimized Dapper;25;2359300;2379000;2108000;2308000;2350000;2454000;2629000;
Update;Optimized Dapper;50;3134900;3148000;2800000;3007000;3127000;3278000;3676000;
Update;Optimized Dapper;100;4766400;4761000;4168000;4598000;4745000;4976000;5242000;
Update;Optimized Dapper;1000;26234700;25860000;22601000;24795000;26422000;26913000;28280000;
Update;Optimized Dapper;10000;288780600;289005000;256349000;279788000;287905000;298737000;327675000;
Update;EF Core;1;1535100;1558000;1313000;1464000;1535000;1629000;1885000;
Update;EF Core;10;2296600;2317000;1958000;2217000;2289000;2398000;2802000;
Update;EF Core;25;3581100;3580000;3251000;3500000;3582000;3675000;4095000;
Update;EF Core;50;5477100;5500000;4973000;5319000;5468000;5668000;6081000;
Update;EF Core;100;9503200;9515000;8371000;9053000;9575000;9925000;11472000;
Update;EF Core;1000;62579400;63473000;53579000;60102000;62234000;67328000;78882000;
Update;EF Core;10000;650767800;643453000;585736000;638044000;652148000;660711000;680216000;
